startTime :2015-01-10 14:27:13 || endTime :2015-01-10 15:27:13 || tweets/hour :0
startTime :2015-01-10 15:27:13 || endTime :2015-01-10 16:27:13 || tweets/hour :0
startTime :2015-01-10 16:27:13 || endTime :2015-01-10 17:27:13 || tweets/hour :0
startTime :2015-01-10 17:27:13 || endTime :2015-01-10 18:27:13 || tweets/hour :0
startTime :2015-01-10 18:27:13 || endTime :2015-01-10 19:27:13 || tweets/hour :0
startTime :2015-01-10 19:27:13 || endTime :2015-01-10 20:27:13 || tweets/hour :0
startTime :2015-01-10 20:27:13 || endTime :2015-01-10 21:27:13 || tweets/hour :1
startTime :2015-01-10 21:27:13 || endTime :2015-01-10 22:27:13 || tweets/hour :0
startTime :2015-01-10 22:27:13 || endTime :2015-01-10 23:27:13 || tweets/hour :0
startTime :2015-01-10 23:27:13 || endTime :2015-01-11 00:27:13 || tweets/hour :0
startTime :2015-01-11 00:27:13 || endTime :2015-01-11 01:27:13 || tweets/hour :0
startTime :2015-01-11 01:27:13 || endTime :2015-01-11 02:27:13 || tweets/hour :0
startTime :2015-01-11 02:27:13 || endTime :2015-01-11 03:27:13 || tweets/hour :0
startTime :2015-01-11 03:27:13 || endTime :2015-01-11 04:27:13 || tweets/hour :0
startTime :2015-01-11 04:27:13 || endTime :2015-01-11 05:27:13 || tweets/hour :0
startTime :2015-01-11 05:27:13 || endTime :2015-01-11 06:27:13 || tweets/hour :0
startTime :2015-01-11 06:27:13 || endTime :2015-01-11 07:27:13 || tweets/hour :0
startTime :2015-01-11 07:27:13 || endTime :2015-01-11 08:27:13 || tweets/hour :0
startTime :2015-01-11 08:27:13 || endTime :2015-01-11 09:27:13 || tweets/hour :0
startTime :2015-01-11 09:27:13 || endTime :2015-01-11 10:27:13 || tweets/hour :0
startTime :2015-01-11 10:27:13 || endTime :2015-01-11 11:27:13 || tweets/hour :0
startTime :2015-01-11 11:27:13 || endTime :2015-01-11 12:27:13 || tweets/hour :0
startTime :2015-01-11 12:27:13 || endTime :2015-01-11 13:27:13 || tweets/hour :0
startTime :2015-01-11 13:27:13 || endTime :2015-01-11 14:27:13 || tweets/hour :0
